Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),,LINKS METAFÓRICOS,LINKS NÃO METAFÓRICOS
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u2941.shtml,2001,http://www1.folha.uol.com.br/folha/brasil/ult96u21503.shtml,2001,http://www1.folha.uol.com.br/fsp/brasil/fc2306200113.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u976.shtml,2008,http://www1.folha.uol.com.br/paineldoleitor/secaodecartas/375555-pesquisa-com-animais-desenvolvimento-prisao-perpetua-terceiro-mandato.shtml,,"https://politica.estadao.com.br/noticias/geral,ordens-e-internet,70003720588","https://ciencia.estadao.com.br/noticias/geral,piloto-de-espermatozoide,70001979079"
2001,http://www1.folha.uol.com.br/fsp/ombudsma/om1803200101.htm,2001,http://www1.folha.uol.com.br/folha/reuters/ult112u2519.shtml,2001,http://www1.folha.uol.com.br/fsp/opiniao/fz2106200107.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u975.shtml,2009,http://www1.folha.uol.com.br/folha/ciencia/ult306u612556.shtml,,https://brasil.estadao.com.br/blogs/macaco-eletrico/a-esquizofrenia-do-posicionamento/,https://ciencia.estadao.com.br/blogs/herton-escobar/descriminalizacao-nao-aumentaria-consumo-de-drogas-diz-psiquiatra/
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u3019.shtml,2001,http://www1.folha.uol.com.br/folha/mundo/ult94u25450.shtml,2001,http://www1.folha.uol.com.br/fsp/opiniao/fz1606200111.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u974.shtml,2009,http://www1.folha.uol.com.br/fsp/ilustrad/fq1204200920.htm,,https://politica.estadao.com.br/blogs/fausto-macedo/a-grande-chance-reforma-eleitoral/,"https://saude.estadao.com.br/noticias/geral,internava-ou-ele-morria-conta-mae,70001900733"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe2103200105.htm,2001,http://www1.folha.uol.com.br/folha/mundo/ult94u25361.shtml,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0806200113.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u973.shtml,2010,http://www1.folha.uol.com.br/fsp/cotidian/ff1811201003.htm,,"https://opiniao.estadao.com.br/noticias/espaco-aberto,aprendiz-de-feiticeiro,70003668660","https://saude.estadao.com.br/noticias/geral,rua-e-temor-de-familias-e-autoridades,70001900751"
2001,http://www1.folha.uol.com.br/fsp/mais/fs2503200110.htm,2001,http://www1.folha.uol.com.br/fsp/mundo/ft0906200112.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u13024.shtml,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u971.shtml,2010,http://www1.folha.uol.com.br/fsp/ilustrissima/il0711201006.htm,,https://politica.estadao.com.br/blogs/fausto-macedo/o-terceiro-setor-e-a-necessidade-de-marcas-com-proposito/,"https://ciencia.estadao.com.br/fotos/geral,genes-da-esquizofrenia-protegem-contra-alzheimer-diz-estudo,760632"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2903200109.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0706200102.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2704200134.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u969.shtml,2010,http://www1.folha.uol.com.br/folha/bbc/ult272u715070.shtml,,https://politica.estadao.com.br/blogs/fausto-macedo/o-ambiente-de-negocios-atual-e-pos-covid-19/,"https://ciencia.estadao.com.br/noticias/geral,brasileiros-criam-metodo-para-diagnosticar-esquizofrenia-na-primeira-consulta,70001826266"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u12179.shtml,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0106200115.htm,2001,http://www1.folha.uol.com.br/fsp/invest/in1604200102.htm,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u968.shtml,2010,http://www1.folha.uol.com.br/folha/livrariadafolha/ult10082u714234.shtml,,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003594972","https://ciencia.estadao.com.br/noticias/geral,paciente-sofreu-para-identificar-a-doenca,70001826262"
2001,http://www1.folha.uol.com.br/fsp/brasil/fc0204200112.htm,2001,http://www1.folha.uol.com.br/fsp/mundo/ft1105200112.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u12296.shtml,2001,http://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u967.shtml,2011,http://www1.folha.uol.com.br/fsp/ilustrissima/il0805201109.htm,,https://politica.estadao.com.br/blogs/fausto-macedo/legislacao-eleitoral-versus-realidade-partidaria/,"https://saude.estadao.com.br/noticias/geral,sp-encerra-convenios-e-troca-hospitais-psiquiatricos-por-casas-terapeuticas,10000093774"
2001,http://www1.folha.uol.com.br/folha/brasil/ult96u17908.shtml,2001,http://www1.folha.uol.com.br/fsp/mundo/ft1105200113.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0204200118.htm,2001,http://www1.folha.uol.com.br/folha/reuters/ult112u13416.shtml,2011,http://www1.folha.uol.com.br/bbc/856231-o-cinema-aberto.shtml,,"https://saude.estadao.com.br/noticias/geral,so-0-9-dos-novos-medicos-de-sp-e-negro,1628563","https://saude.estadao.com.br/fotos/geral,fatores-de-risco,566365"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0704200102.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u13024.shtml,2001,http://www1.folha.uol.com.br/colunas/helioschwartsman/356297-pfe-e-fe-e-ciencia-e-cienciap.shtml,2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u6204.shtml,2012,http://www1.folha.uol.com.br/colunas/katiaabreu/1183458-obsessao-por-censura.shtml,,https://ciencia.estadao.com.br/blogs/herton-escobar/metas-de-protecao-da-biodiversidade-ameacam-fracassar-de-novo/,"https://saude.estadao.com.br/noticias/geral,estudo-de-efeitos-do-zika-usara-minicerebros,10000015052"
2001,http://www1.folha.uol.com.br/fsp/mais/fs0804200111.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2704200135.htm,2001,http://www1.folha.uol.com.br/folha/pensata/ult510u7.shtml,2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1203200201.htm,2012,http://www1.folha.uol.com.br/fsp/mercado/77150-obsessao-por-censura.shtml,,"https://politica.estadao.com.br/noticias/geral,engodo-liberal,70003624722","https://saude.estadao.com.br/noticias/geral,mae-de-paranaense-condenado-a-morte-pedira-ajuda-ao-papa,1622559"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u3264.shtml,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2704200134.htm,2001,http://www1.folha.uol.com.br/fsp/mais/fs2503200118.htm,2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u21637.shtml,2012,http://www1.folha.uol.com.br/mundo/1073667-mujica-faz-viagem-supresa-a-argentina-para-se-reunir-com-cristina.shtml,,https://politica.estadao.com.br/blogs/fausto-macedo/quem-tem-medo-do-lobo-guara/,"https://saude.estadao.com.br/noticias/geral,a-medicina-de-3000-ac-versus-a-medicina-do-terceiro-milenio,1605710"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1104200102.htm,2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2704200133.htm,2001,http://www1.folha.uol.com.br/fsp/mais/fs1803200105.htm,2001,http://www1.folha.uol.com.br/folha/cotidiano/ult95u43083.shtml,2013,http://www1.folha.uol.com.br/colunas/antoniodelfim/2013/07/1319252-primeiro-passo.shtml,,"https://politica.estadao.com.br/noticias/geral,emmeio-a-crise-no-psl-centrao-quer-endurecer-punicao-a-quem-mudar-de-legenda,70003050674",https://saude.estadao.com.br/blogs/pilulas/ser-pai-aos-45-aumenta-risco-de-transtorno-mental-no-bebe/
