Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),, 
2012,https://www.correiodopovo.com.br/arteagenda/estreia-amanh%C3%A3-longa-filmado-no-rio-grande-do-sul-1.96734,2018,https://www.correiodopovo.com.br/blogs/cpop/cpop-contra-ataca-todos-os-filmes-e-s%C3%A9ries-de-her%C3%B3is-que-voc%C3%AA-vai-assistir-em-2018-1.312990, ,, ,,,,,
2012,https://www.correiodopovo.com.br/not%C3%ADcias/geral/apesar-de-avisos-popula%C3%A7%C3%A3o-%C3%A9-surpreendida-com-fechamento-da-farm%C3%A1cia-do-estado-1.94579,2018,https://www.correiodopovo.com.br/blogs/juremirmachado/nos-passos-de-arthur-bispo-do-ros%C3%A1rio-1.315514, ,, ,,,,,
2012,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/autor-de-massacre-na-noruega-%C3%A9-considerado-penalmente-respons%C3%A1vel-1.93835,2019,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/ex-comandante-do-ex%C3%A9rcito-villas-b%C3%B4as-chama-olavo-de-trotski-de-direita-1.337139, ,, ,,,,,
2012,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/restos-mortais-de-v%C3%ADtimas-de-canibalismo-s%C3%A3o-enterrados-em-pe-1.89468,2020,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/morre-o-estripador-de-yorkshire-que-aterrorizou-o-norte-da-inglaterra-1.519980, ,, ,,,,,
2012,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/psiquiatras-consideram-atirador-da-noruega-penalmente-respons%C3%A1vel-1.89130,2021,https://www.correiodopovo.com.br/not%C3%ADcias/cidades/prefeitura-confirma-surto-de-covid-19-em-lar-para-idosos-em-pelotas-1.571944,,, ,,,,,
2012,https://www.correiodopovo.com.br/arteagenda/morre-o-cartunista-moebius-o-artista-xam%C3%A3-1.87033,2021,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/esquizofr%C3%AAnico-%C3%A9-condenado-%C3%A0-pris%C3%A3o-perp%C3%A9tua-por-ataque-a-faca-no-reino-unido-1.725448,,, ,,,,,
2013,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/falso-int%C3%A9rprete-diz-ter-sofrido-ataque-de-esquizofrenia-1.132482,2022,https://www.correiodopovo.com.br/arteagenda/bispo-do-ros%C3%A1rio-sua-arte-e-imagin%C3%A1rio-1.822470,,, ,,,,,
2013,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/falso-int%C3%A9rprete-de-sinais-afirma-que-sofreu-ataque-de-esquizofrenia-1.132451,2022,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/procurador-da-rep%C3%BAblica-compara-c%C3%A2mara-de-g%C3%A1s-da-prf-com-caso-george-floyd-1.829414,,, ,,,,,
2013,https://www.correiodopovo.com.br/arteagenda/benicio-del-toro-retorna-a-cannes-com-filme-freudiano-1.117834,,,,, ,,,,,
2013,https://www.correiodopovo.com.br/blogs/maispreza/embaixo-da-ponte-6-1.288894,,,,, ,,,,,
